Row	Column	Assay	Sample		Conc	Ct	Tm	Expected Tm	R2	Chi2	Straight R2	Efficiency	Multiple peaks	Outlier	Multimodal melt peaks	F0	Flags	S-DispenseTip	S-DropIndex	S-GlobalDropIndex	S-SP-Well	A-DispenseTip	A-DropIndex	A-GlobalDropIndex	A-SP-Well	Asymmetry	A	B	C	D	E	AmpRatio	Tm minus mean	Ct minus mean
56	11	AY103	8B-rep3		-1	29.8855	80.63217		0.9999897	2108.838	0.5696186	1.913159	FALSE	FALSE	FALSE	1.02E-06	CtIsLarge									17	6214.261	1.408945	32.74102	12623.19	-14.59509	3.031327		
65	0	AY104	1A-rep1														NoAmplification																	
65	1	AY104	1A-rep2														NoAmplification																	
65	2	AY104	1A-rep3														NoAmplification																	
65	6	AY104	5B-rep1														NoAmplification																	
65	7	AY104	5B-rep2														NoAmplification																	
65	8	AY104	5B-rep3														NoAmplification																	
65	9	AY104	8B-rep1														NoAmplification																	
65	10	AY104	8B-rep2														NoAmplification																	
65	11	AY104	8B-rep3														NoAmplification																	
2	24	AY105	1A-rep1														NoAmplification																	
2	25	AY105	1A-rep2														NoAmplification																	
2	26	AY105	1A-rep3														NoAmplification																	
2	30	AY105	5B-rep1														NoAmplification																	
2	31	AY105	5B-rep2														NoAmplification																	
2	32	AY105	5B-rep3														NoAmplification																	
2	33	AY105	8B-rep1														NoAmplification																	
2	34	AY105	8B-rep2														NoAmplification																	
2	35	AY105	8B-rep3														NoAmplification																	
11	24	AY106	1A-rep1														NoAmplification																	
11	25	AY106	1A-rep2														NoAmplification																	
11	26	AY106	1A-rep3														NoAmplification																	
11	30	AY106	5B-rep1		-1	22.36713	77.57738		0.9997464	59425.57	0.826802	2.041771	FALSE	FALSE	FALSE	4.34E-05										8	8077.962	1.290481	25.06664	11850.77	10.0505	2.46705		
11	31	AY106	5B-rep2		-1	22.3298	77.52171		0.9995698	75249.13	0.8308067	1.8959	FALSE	FALSE	FALSE	0.0002295										9	9366.777	1.427276	25.20946	10753.91	0.9515036	2.148091		
11	32	AY106	5B-rep3		-1	22.02505	77.54211		0.9997979	31279.14	0.8384992	2.086768	FALSE	FALSE	FALSE	2.95E-05										6	10041.65	1.255288	24.67821	10190.05	20.59878	2.014778		
