Row	Column	Assay	Sample	Conc	Ct	Tm	Efficiency	Flags
65	27	AY112	4C-rep1	-1				CtIsLarge. CurveFitFailed
65	28	AY112	4C-rep2	-1	28.24	82.76	1.85	
65	29	AY112	4C-rep3	-1				CtIsLarge. CurveFitFailed
65	33	AY112	5A-rep1	-1	19.17	84.39	1.97	
65	34	AY112	5A-rep2	-1	19.02	84.37	1.95	
65	35	AY112	5A-rep3	-1	18.93	84.36	1.96	
65	24	AY112	5C-rep1	-1	29.28	82.84	1.89	
65	25	AY112	5C-rep2	-1				LowEfficiency. CtIsLarge. CurveFitFailed
65	26	AY112	5C-rep3	-1	29.47	82.77	1.87	MultipleMeltPeaks
2	12	AY113	4B-rep1	-1	26.82	88.55	1.9	
2	13	AY113	4B-rep2	-1	26.35	88.37	1.93	
2	14	AY113	4B-rep3	-1	26.29	88.53	1.93	
2	15	AY113	4C-rep1	-1	26.26	88.16	1.9	MultipleMeltPeaks
2	16	AY113	4C-rep2	-1	26.32	88.45	1.9	MultipleMeltPeaks
2	17	AY113	4C-rep3	-1	26.34	88.32	1.91	
2	21	AY113	5A-rep1	-1	25.57	88.72	1.96	
2	22	AY113	5A-rep2	-1	25.63	88.35	1.94	
2	23	AY113	5A-rep3	-1	26.11	88.32	1.89	
2	12	AY113	5C-rep1	-1	24.64	89.09	1.88	
2	13	AY113	5C-rep2	-1	24.45	88.51	1.9	
2	14	AY113	5C-rep3	-1	24.57	88.84	1.9	
11	12	AY114	4B-rep1	-1				CtIsLarge. CurveFitFailed
11	13	AY114	4B-rep2	-1				CtIsLarge. SaturationBaselineRatioIsLow. CurveFitFailed
11	14	AY114	4B-rep3	-1				NoAmplification
11	15	AY114	4C-rep1	-1				BadR2. HighEfficiency. CtIsLarge. SaturationBaselineRatioIsLow. CurveFitFailed. HighBaseline
11	16	AY114	4C-rep2	-1				NoAmplification
11	17	AY114	4C-rep3	-1	34.79	89.8	1.83	CtIsLarge
11	21	AY114	5A-rep1	-1				CtIsLarge. CurveFitFailed
11	22	AY114	5A-rep2	-1				CurveFitFailed
11	23	AY114	5A-rep3	-1	30.11	84.65	1.84	CtIsLarge. MultipleMeltPeaks
11	12	AY114	5C-rep1	-1	34.73	83.49	1.82	CtIsLarge
11	13	AY114	5C-rep2	-1				CtIsLarge. CurveFitFailed
11	14	AY114	5C-rep3	-1				CtIsLarge. CurveFitFailed
20	12	AY115	4B-rep1	-1	27.51	75.88	1.94	
20	13	AY115	4B-rep2	-1	25.27	76.14	2	
20	14	AY115	4B-rep3	-1	24.24	76.18	2	
20	15	AY115	4C-rep1	-1	23.55	76.06	2.02	
20	16	AY115	4C-rep2	-1	25.19	75.98	1.96	
20	17	AY115	4C-rep3	-1	24.55	76.02	2	
20	21	AY115	5A-rep1	-1	21.43	75.98	2.03	
20	22	AY115	5A-rep2	-1	21.52	75.97	2.05	
20	23	AY115	5A-rep3	-1	21.72	75.97	2.04	
20	12	AY115	5C-rep1	-1	23.02	76.16	1.99	
20	13	AY115	5C-rep2	-1	21.16	76.13	2.13	
20	14	AY115	5C-rep3	-1	20.96	76.14	2.1	SaturationBaselineRatioIsLow
29	12	AY116	4B-rep1	-1	31.49	86.78	1.93	CtIsLarge. MultipleMeltPeaks
29	13	AY116	4B-rep2	-1	33.46	80.39	2.05	CtIsLarge. MultipleMeltPeaks
29	14	AY116	4B-rep3	-1	28.59	83.92	1.99	
29	15	AY116	4C-rep1	-1	27.32	83.99	1.95	
29	16	AY116	4C-rep2	-1	28.98	84.82	2.03	
29	17	AY116	4C-rep3	-1	28.81	83.91	2	
29	21	AY116	5A-rep1	-1	29.78	83.62	2.01	CtIsLarge
29	22	AY116	5A-rep2	-1	28.55	83.78	1.96	
29	23	AY116	5A-rep3	-1	27.63	83.72	1.95	
